日语词汇,假名/英语原词,中文翻译
活躍,かつやく,活跃，大显身手
活用,かつよう,有效利用；词尾变化，活用
活力,かつりょく,活力，生机
勘違い,かんちがい,误会
甘やかす,あまやかす,宠，惯
鑑賞,かんしょう,鉴赏，欣赏
関連,かんれん,关联，相关
器具,きぐ,器具，用具，器械
基準,きじゅん,基准，标准
機能,きのう,机能，功能
気味,きみ,（心身所受的）感触，心情，情绪
貴重,きちょう,贵重，宝贵
議長,ぎちょう,主持人；主席，议长
休業,きゅうぎょう,停业，歇业
休養,きゅうよう,休养
吸収,きゅうしゅう,吸收，吸取
急激,きゅうげき,急剧的
求人,きゅうじん,招聘，招工
供給,きょうきゅう,供给，供应
共に,ともに,一起，共同；（…と共に）同时
恐怖,きょうふ,恐惧，恐慌
教養,きょうよう,修养，教养，通才教育
筋肉,きんにく,肌肉
空想,くうそう,空想，虚构
欠く,かく,缺少，缺乏；弄坏（坚硬物体的一部分）
欠陥,けっかん,缺点，缺陷
結論,けつろん,结论，结果
見慣れる,みなれる,看惯，司空见惯
見事,みごと,漂亮，巧妙，出色；（反语）完全
見出し,みだし,标题；目录，索引；词条
現場,げんば,现场；基层
限る,かぎる,限于，限制；（「…に限る」の形で）只限……；最好
限界,げんかい,极限，界限
娯楽,ごらく,娱乐
後者,こうしゃ,后者；后世的人
候補,こうほ,候补，候选人
好む,このむ,喜欢，喜爱；想要，希望
校舎,こうしゃ,校舍，教学楼
構成,こうせい,构成
構造,こうぞう,构造，结构
考慮,こうりょ,考虑
行方,ゆくえ,去向，下落；前途，走向
貢献,こうけん,贡献
克服,こくふく,克服
催促,さいそく,催促，催讨，催逼
作法,さほう,礼节，礼法，礼貌
削除,さくじょ,删除
雑草,ざっそう,杂草
刺激,しげき,刺激
子育て,こそだて,抚养孩子
思い込む,おもいこむ,固执地认为；下定决心
思想,しそう,思想，想法
支配,しはい,统治；支配，影响
至急,しきゅう,火急，火速
次第,しだい,顺序；情况，缘由
自ら,みずから,自己；亲自
実施,じっし,施行，举行
取材,しゅざい,取材，采访
手間,てま,工夫，劳力和时间
受賞,じゅしょう,获奖，得奖
需要,じゅよう,需要，需求
収穫,しゅうかく,收获
周囲,しゅうい,周围；环境
修正,しゅうせい,（不足或不当之处）修正，改正
重力,じゅうりょく,重力，万有引力
宿泊,しゅくはく,住宿
出世,しゅっせ,出人头地，升职
瞬間,しゅんかん,瞬间
循環,じゅんかん,循环
初歩,しょほ,（学问、技艺等）初学，入门
所有,しょゆう,所有，拥有
書物,しょもつ,书籍，图书
将棋,しょうぎ,将棋
招く,まねく,招呼；招待，邀请；聘请；招致
消化,しょうか,消化，吸收；理解，掌握
消耗,しょうもう,消耗，用尽；耗尽（体力、精力等）
症状,しょうじょう,症状，病情
省略,しょうりゃく,省略，从简
障害,しょうがい,阻碍，障碍；毛病，故障，残疾
蒸発,じょうはつ,蒸发；失踪
職人,しょくにん,工匠，手工艺人
心身,しんしん,身心
振り向く,ふりむく,回头看；（后接否定）不感兴趣，不屑一顾
真剣,しんけん,做事认真，一丝不苟
神経,しんけい,神经；感觉，感受
人類,じんるい,人类
水準,すいじゅん,水准，水平
世間,せけん,社会；交际圈
制度,せいど,制度，规定
成分,せいぶん,成分，构成物
整備,せいび,维修，整修，整备
接する,せっする,毗邻；接触；接待
接続,せつぞく,接续，连接
組織,そしき,组织，组成
相当,そうとう,相符合，相当于；相当，非常
総務,そうむ,总务
装置,そうち,装置；安装
測定,そくてい,（重量、长度、速度、体积等）测定，测量
続出,ぞくしゅつ,接连发生
尊重,そんちょう,尊重
妥当,だとう,（判断、处置等符合常理）妥善，稳妥
体温,たいおん,体温
体制,たいせい,体制
対立,たいりつ,对立，冲突
滝,たき,瀑布
濁る,にごる,浑浊；声音变嘶哑；变浊音
探る,さぐる,摸；试探，侦查；探访
地面,じめん,地面；土地
中略,ちゅうりゃく,中略，中间省略
通路,つうろ,通道，过道，出入口
抵抗,ていこう,抵抗，反抗；抵触
的確,てきかく,准确，恰当
適切,てきせつ,合适，恰当
哲学,てつがく,哲学
徹底,てってい,彻底；贯彻
展開,てんかい,开展，展开；展现
当時,とうじ,当时
統一,とういつ,统一
独立,どくりつ,独立
納める,おさめる,收下；缴纳；收纳
農薬,のうやく,农药
破片,はへん,碎片
発揮,はっき,发挥，施展
発行,はっこう,发行；印发
発想,はっそう,构思，想法；表达，表现
反映,はんえい,映照，反射；反映
反省,はんせい,反省
